Volume(mm),Year,Station_Code,Data_Type,Date_x,Month,Measurer,Daily_max_vol,Day_max_vol,Rain_days,Monthly_total_vol,Annual_vol,Vol_fortnight1_x,Vol_fortnight2_x,Vol_week1_x,Vol_week2_x,Vol_week3_x,Vol_week4_x,Day01,Day02,Day03,Day04,Day05,Day06,Day07,Day08,Day09,Day10,Day11,Day12,Day13,Day14,Day15,Day16,Day17,Day18,Day19,Day20,Day21,Day22,Day23,Day24,Day25,Day26,Day27,Day28,Day29,Day30,Day31,Date_y,River position (m),Monthly_total_vol ,Vol_fortnight1_y,Vol_fortnight2_y,Vf_mean,Vol_week1_y,Vol_week2_y,Vol_week3_y,Vol_week4_y,Vw_mean,Select
1350.4,1945.0,2951010.0,Raw,1945-09-01,September,Pluviometer,93.4,22.0,10.0,149.3,,29.7,119.6,11.3,18.4,94.4,25.2,1.5,0.0,0.0,0.0,0.0,0.0,9.3,0.5,0.0,0.0,0.0,0.0,6.3,10.1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,93.4,1.0,0.0,0.0,0.0,10.2,15.0,0.0,0.0,,,,,,,,,,,,,
1350.4,1945.0,2951010.0,Raw,1945-08-01,August,Pluviometer,19.8,26.0,8.0,97.4,,44.9,52.5,40.8,4.1,14.9,37.6,17.2,12.8,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,14.9,0.0,0.0,0.0,0.0,0.0,7.8,0.0,19.8,0.0,0.0,0.0,0.0,10.0,,,,,,,,,,,,
1350.4,1945.0,2951010.0,Raw,1945-07-01,July,Pluviometer,72.3,30.0,8.0,201.8,,20.5,181.3,16.8,3.7,5.0,176.3,0.0,0.0,16.8,0.0,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,40.4,3.3,0.0,0.0,0.0,32.1,72.3,28.2,,,,,,,,,,,,
1350.4,1945.0,2951010.0,Raw,1945-06-01,June,Pluviometer,69.6,4.0,5.0,150.3,,103.5,46.8,103.5,0.0,46.8,0.0,0.0,2.4,25.3,69.6,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
1350.4,1945.0,2951010.0,Raw,1945-05-01,May,Pluviometer,17.5,14.0,4.0,38.0,,38.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7,3.5,0.0,0.0,17.5,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
1350.4,1945.0,2951010.0,Raw,1945-04-01,April,Pluviometer,22.5,29.0,3.0,30.4,,0.0,30.4,0.0,0.0,0.0,30.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,22.5,4.1,,,,,,,,,,,,,
1350.4,1945.0,2951010.0,Raw,1945-03-01,March,Pluviometer,34.6,2.0,9.0,124.6,,100.8,23.8,40.0,60.8,15.6,8.2,0.0,34.6,1.0,0.0,0.0,0.0,0.0,4.4,23.8,0.0,0.0,0.0,0.0,32.2,4.8,0.0,0.0,0.0,1.2,0.0,0.0,0.0,14.4,0.0,8.2,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
1350.4,1945.0,2951010.0,Raw,1945-02-01,February,Pluviometer,44.4,16.0,6.0,86.6,,0.0,86.6,0.0,0.0,60.1,26.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,44.4,1.0,0.0,7.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26.5,0.0,,,,,,,,,,,,,,,
1350.4,1945.0,2951010.0,Raw,1945-01-01,January,Pluviometer,106.4,28.0,3.0,154.0,,0.0,154.0,0.0,0.0,47.6,106.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,45.2,0.0,0.0,0.0,0.0,0.0,0.0,106.4,0.0,0.0,0.0,,,,,,,,,,,,
1305.4,1946.0,2951010.0,Raw,1946-12-01,December,Pluviometer,62.0,14.0,7.0,213.4,1305.4,127.0,86.4,0.0,127.0,36.1,50.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.4,14.3,0.0,27.3,62.0,0.0,0.0,0.0,0.0,0.0,28.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.3,0.0,1946-01-01,17.7,302.8,118.8,184.0,151.4,12.5,106.3,69.4,114.6,87.85,2.0
1305.4,1946.0,2951010.0,Raw,1946-11-01,November,Pluviometer,41.6,25.0,6.0,120.1,,36.5,83.6,36.5,0.0,36.6,47.0,27.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.4,0.0,0.0,0.0,12.2,5.4,41.6,0.0,0.0,0.0,0.0,0.0,,1946-01-01,17.7,302.8,118.8,184.0,151.4,12.5,106.3,69.4,114.6,87.85,2.0
1305.4,1946.0,2951010.0,Raw,1946-10-01,October,Pluviometer,64.4,6.0,8.0,179.8,,171.5,8.3,101.4,70.1,0.0,8.3,0.0,0.0,0.0,24.1,0.0,64.4,9.5,3.4,0.0,0.0,0.0,0.0,20.2,4.5,45.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,0.0,0.0,0.0,0.0,1946-01-01,17.7,302.8,118.8,184.0,151.4,12.5,106.3,69.4,114.6,87.85,2.0
1305.4,1946.0,2951010.0,Raw,1946-09-01,September,Pluviometer,11.9,23.0,1.0,11.9,,0.0,11.9,0.0,0.0,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1946-01-01,17.7,302.8,118.8,184.0,151.4,12.5,106.3,69.4,114.6,87.85,2.0
1305.4,1946.0,2951010.0,Raw,1946-08-01,August,Pluviometer,38.1,27.0,4.0,68.2,,7.3,60.9,7.3,0.0,14.5,46.4,0.0,0.0,0.0,0.0,0.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,0.0,0.0,0.0,8.3,38.1,0.0,0.0,0.0,0.0,1946-01-01,17.7,302.8,118.8,184.0,151.4,12.5,106.3,69.4,114.6,87.85,2.0
1305.4,1946.0,2951010.0,Raw,1946-07-01,July,Pluviometer,27.5,4.0,7.0,73.1,,54.0,19.1,37.3,16.7,19.1,0.0,3.0,6.8,0.0,27.5,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,8.5,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1946-01-01,17.7,302.8,118.8,184.0,151.4,12.5,106.3,69.4,114.6,87.85,2.0
1305.4,1946.0,2951010.0,Raw,1946-06-01,June,Pluviometer,41.0,22.0,7.0,103.6,,17.3,86.3,8.7,8.6,60.3,26.0,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,0.0,0.0,0.0,0.0,18.5,0.0,0.0,41.0,0.8,0.0,14.6,0.0,0.0,11.4,0.0,0.0,,1946-01-01,17.7,302.8,118.8,184.0,151.4,12.5,106.3,69.4,114.6,87.85,2.0
1305.4,1946.0,2951010.0,Raw,1946-05-01,May,Pluviometer,6.4,18.0,2.0,11.0,,4.6,6.4,4.6,0.0,6.4,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1946-01-01,17.7,302.8,118.8,184.0,151.4,12.5,106.3,69.4,114.6,87.85,2.0
1305.4,1946.0,2951010.0,Raw,1946-04-01,April,Pluviometer,13.6,11.0,3.0,26.0,,19.5,6.5,5.9,13.6,6.5,0.0,0.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1946-01-01,17.7,302.8,118.8,184.0,151.4,12.5,106.3,69.4,114.6,87.85,2.0
1305.4,1946.0,2951010.0,Raw,1946-03-01,March,Pluviometer,15.0,16.0,4.0,34.8,,19.8,15.0,15.1,4.7,15.0,0.0,6.5,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1946-01-01,17.7,302.8,118.8,184.0,151.4,12.5,106.3,69.4,114.6,87.85,2.0
1305.4,1946.0,2951010.0,Raw,1946-02-01,February,Pluviometer,32.5,14.0,10.0,160.7,,122.8,37.9,41.0,81.8,32.4,5.5,0.0,15.6,0.0,0.0,13.2,12.2,0.0,13.7,11.6,14.8,9.2,0.0,0.0,32.5,0.0,32.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,,,,1946-01-01,17.7,302.8,118.8,184.0,151.4,12.5,106.3,69.4,114.6,87.85,2.0
1305.4,1946.0,2951010.0,Raw,1946-01-01,January,Pluviometer,69.2,26.0,13.0,302.8,,118.8,184.0,12.5,106.3,69.4,114.6,0.0,0.0,1.3,0.0,0.0,0.0,0.0,11.2,8.0,1.6,0.0,26.7,24.5,45.5,0.0,0.0,40.6,9.8,19.0,0.0,0.0,0.0,0.0,12.8,32.6,69.2,0.0,0.0,0.0,0.0,0.0,1946-01-01,17.7,302.8,118.8,184.0,151.4,12.5,106.3,69.4,114.6,87.85,2.0
1311.3,1947.0,2951010.0,Raw,1947-12-01,December,Pluviometer,68.0,9.0,5.0,177.4,1311.3,94.1,83.3,0.0,94.1,75.3,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,26.1,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,,,,,,,,,,,,
1311.3,1947.0,2951010.0,Raw,1947-11-01,November,Pluviometer,36.4,24.0,1.0,36.4,,0.0,36.4,0.0,0.0,0.0,36.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.4,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
1311.3,1947.0,2951010.0,Raw,1947-10-01,October,Pluviometer,42.2,1.0,3.0,69.5,,42.2,27.3,42.2,0.0,22.0,5.3,42.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,0.0,0.0,,,,,,,,,,,,
