Station_Code;Data_Type;Date;Month;Measurer;Daily_max_vol;Day_max_vol;Rain_days;Monthly_total_vol;Annual_vol;Year;Vol_fortnight1;Vol_fortnight2;Vol_week1;Vol_week2;Vol_week3;Vol_week4;Day01;Day02;Day03;Day04;Day05;Day06;Day07;Day08;Day09;Day10;Day11;Day12;Day13;Day14;Day15;Day16;Day17;Day18;Day19;Day20;Day21;Day22;Day23;Day24;Day25;Day26;Day27;Day28;Day29;Day30;Day31
2951010;Raw;01/08/2014;August;Pluviometer;43.9;31;9;94.2;;;42.9;51.3;26.9;16;0.2;51.1;1.8;17.4;0;0;0;0;0;7.7;0;2.2;0;12.6;1.2;0;0;0;0;0.2;0;0;0;0;0;0;0;7.2;0;0;0;0;43.9
2951010;Raw;01/07/2014;July;Pluviometer;67.7;24;9;152.9;;;35.1;117.8;35.1;0;38.1;79.7;0;0;5.6;15.9;1.9;0;11.7;0;0;0;0;0;0;0;0;0;0;31.2;1.3;0;0;0;5.6;67.7;12;0;0;0;0;0;0
2951010;Raw;01/06/2014;June;Pluviometer;51.7;14;15;283.3;;;161.9;121.4;108.2;53.7;16.9;104.5;38.5;0;0;0;28.9;37.1;0;3.7;0;0;0;0;0;51.7;2;0;1.7;0.7;0;0;0;0;14.5;6.5;32.3;8.9;9.1;22.2;25.5;0;
2951010;Raw;01/05/2014;May;Pluviometer;40.5;22;8;138.8;;;20.4;118.4;20.4;0;80.1;38.3;0;0;0;0;18.2;2.2;0;0;0;0;0;0;0;0;0;38.6;0;0;0;0;0;40.5;1;0;0;2.6;2;0;0;0;33.7
2951010;Raw;01/04/2014;April;Pluviometer;52.7;9;7;134.8;;;105.5;29.3;4;101.5;22.9;6.4;4;0;0;0;0;0;0;0;52.7;0;0;48.8;0;0;0;0;0;0;0;22.3;0;0.6;0;0;0;0;0;0;5.9;0.5;
2951010;Raw;01/03/2014;March;Pluviometer;89.1;4;10;201.6;;;101.9;99.7;101.9;0;66.2;33.5;0;0;0;89.1;0.8;12;0;0;0;0;0;0;0;0;0;7.5;5.4;34.6;4.1;13.6;1;0;0;0;0;0;0;0;0;0;33.5
2951010;Raw;01/02/2014;February;Pluviometer;35.5;27;12;125.3;;;67.5;57.8;48.6;18.9;6.4;51.4;26;21;0;1.6;0;0;0;2.8;0;0;0;0;0;16.1;0.6;0;0;0;0;0;5.8;2.8;7.7;1.7;0;3.7;35.5;0;;;
2951010;Raw;01/01/2014;January;Pluviometer;74;31;12;201;;;112.1;88.9;37.8;74.3;2.8;86.1;5.3;2.6;13.9;0;0;0;0;16;0;0;38.7;30.5;0;4.1;1;2.8;0;0;0;0;0;0;0;0;0;2.5;9.6;0;0;0;74
2951010;Raw;01/12/2013;December;Pluviometer;45;6;8;155.6;1847.9;2013;81.3;74.3;51.2;30.1;0;74.3;0;2.7;0;0;3.5;45;0;0;0;18.1;7.2;0;4.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36.5;37.8
2951010;Raw;01/11/2013;November;Pluviometer;64.5;11;10;221.7;;;114.3;107.4;2.5;111.8;107.1;0.3;0;0;0;2.5;0;0;0;0;0;1.6;64.5;43.9;1.8;0;0;28;0;0;19.4;0;13.1;46.6;0;0;0;0;0;0.3;0;0;
2951010;Raw;01/10/2013;October;Pluviometer;43.5;22;9;90.9;;;12.5;78.4;4.4;8.1;55.4;23;0;0;0;2.5;1.9;0;0;0;0;0;0;0;4.7;3.4;0;4.8;0;0;5.9;0;0;43.5;1.2;23;0;0;0;0;0;0;0
2951010;Raw;01/09/2013;September;Pluviometer;39.8;21;9;125.8;;;11.7;114.1;11.7;0;94.8;19.3;0;11.7;0;0;0;0;0;0;0;0;0;0;0;0;0;35.2;10.5;0;0;0;39.8;6.3;3;5;7.2;0;0;7.1;0;0;
2951010;Raw;01/08/2013;August;Pluviometer;62.2;25;11;312.9;;;112.6;200.3;38;74.6;33.4;166.9;0;0;0;36.5;0;1.5;0;0;0;31.1;26.7;0;1.4;15.4;0;0;0;0;0;0;0;0;33.4;52.3;62.2;37;15.4;0;0;0;0
2951010;Raw;01/07/2013;July;Pluviometer;53.5;7;5;121.6;;;87.6;34;69.4;18.2;34;0;0;0;0;0;0;0;53.5;15.9;0;0;0;0;0;18.2;0;0;0;17.5;16.5;0;0;0;0;0;0;0;0;0;0;0;0
2951010;Raw;01/06/2013;June;Pluviometer;40;29;9;102.6;;;13.1;89.5;13.1;0;26;63.5;3.6;9.5;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;10.5;3.2;11.3;0;0;0;13;10.5;0;0;40;0;
2951010;Raw;01/05/2013;May;Pluviometer;61.8;20;4;112.1;;;0;112.1;0;0;79.4;32.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17.6;0;0;0;61.8;0;0;0;0;0;0;0;0;10.7;22;0
2951010;Raw;01/04/2013;April;Pluviometer;50.7;12;4;125.2;;;86.8;38.4;36.1;50.7;0;38.4;0;0;0;6.6;0;29.5;0;0;0;0;0;50.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38.4;
